max_number,min_number,average_number,max_length,min_length,average_length
118933989754007,0,11327138794250,87,2,14
118953989761007,0,11329055064706,88,2,14
118956031993629,0,11329238245640,87,2,14
118956031993629,0,13995314912470,88,2,14
118959444672283,0,11329563072175,88,2,14
118985343177496,0,11333497854189,88,2,14
118985902011807,0,11332083009270,88,2,14
148260912525789,0,12726499800365,88,2,15
118985902018807,0,13998829158366,88,2,14
118985902018807,0,13998829214247,88,2,14
1474278937004990,0,75875430590868,87,2,15
118985902025807,0,13998829219776,88,2,14
118987487824117,0,11333840590501,88,2,14
118987487824117,0,13999015863103,88,2,14
118996172373077,0,11333089541297,88,2,14
119075232775626,0,11341016706325,88,2,14
119075232775626,0,14009338893863,88,2,14
119076241356777,0,11344432879881,87,2,14
119076243405057,0,2876497147511,87,1,14
119076243412057,0,5684626109345,88,2,15
119076243419057,0,5552427130384,87,2,15
119076719012614,0,11340732056948,88,2,14
119076719012614,0,14009513957026,88,2,14
119088788477273,0,11341917320638,88,2,14
119088788477273,0,14010934003451,88,2,14
119088788484273,0,5685229602973,87,2,15
119090375391273,0,11342137545357,88,2,14
119090375398273,0,5823971531070,87,2,15
119092308086517,0,11342216921110,88,2,14
119092716753006,0,11342368964575,88,2,14
119093844378772,0,11342364190777,88,2,14
119093844385772,0,5685476749283,88,2,15
119093844392772,0,5553265662420,87,2,15
119093844399772,0,5789403667352,88,2,15
119093844406772,0,5553288918889,88,2,15
119093912724939,0,11342369673743,88,2,14
119094116416334,0,11342411323792,88,2,14
148331438034367,0,13203352228534,88,2,15
119094116430334,0,5553315524628,88,2,15
119094116437334,0,5824259615607,87,2,15
119094116444334,0,5685546614195,87,2,15
119094116451334,0,5824860055497,88,2,15
119094116458334,0,5685927722956,88,2,15
119094116458334,0,14011561946451,88,2,14
119094116465334,0,5824621661272,88,2,15
119094346730708,0,11342427959828,88,2,14
119094348778988,0,2842993431219,88,1,14
119263152685988,0,11358543332325,88,2,14
119263250901120,0,11358501930281,88,2,14
119263250908120,0,5693995584140,87,2,15
119263250915120,0,5561584059255,88,2,15
