max_number,min_number,average_number,max_length,min_length,average_length,time,fee,sender
115316743387871,0,13567152757544,88,2,14,1701553759,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
115316743394871,0,5502530840221,88,2,15,1701553753,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115317361125796,0,10982697972880,87,2,14,1701553747,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115317361125796,0,13567225548472,87,2,14,1701553738,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
115318585032796,0,10984085595022,88,2,14,1701553736,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115318641822981,0,10982820138729,87,2,14,1701553723,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115318641822981,0,13567376312255,87,2,14,1701553720,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
115437117081619,0,10994197535192,88,2,14,1701553713,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115554422636921,0,11005278355065,88,2,14,1701553713,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115554508856282,0,11005283566730,88,2,14,1701553712,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115555776792595,0,11005404226852,88,2,14,1701553694,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115766504764133,0,11025538034138,87,2,14,1701553685,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115766506812413,0,2795322106148,88,1,14,1701553678,9000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
115766506812413,0,13620066588055,88,2,14,1701553639,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
115767064040335,0,11025538272370,87,2,14,1701553630,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118017063947335,0,11459907755862,88,2,14,1701553610,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118017063954335,0,5768477001062,88,2,15,1701553584,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118017063961335,0,5768475139208,88,2,15,1701553570,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118017063968335,0,5631139651702,88,2,15,1701553564,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118017063968335,0,13884838366381,88,2,14,1701553536,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118017145132613,0,11239820259211,88,2,14,1701553534,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118017145139613,0,5768490201702,88,2,15,1701553509,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118049258241936,0,11242878844788,88,2,14,1701553506,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118049258248936,0,5501683774613,88,2,15,1701553472,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118060758155936,0,11243978641936,88,2,14,1701553455,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118061816993122,0,11244170668970,88,2,14,1701553440,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118061817000122,0,5770670686819,88,2,15,1701553411,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118061817007122,0,5633303576813,87,2,15,1701553408,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118061817014122,0,5502529075468,88,2,15,1701553405,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118061817014122,0,13890104052330,88,2,14,1701553403,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118061819062402,0,2985951285702,87,1,14,1701553378,9000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118061819069402,0,5502531866666,88,2,15,1701553375,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118065634882325,0,11244438330586,88,2,14,1701553367,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118065634889325,0,5633726494912,87,2,15,1701553359,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118065634896325,0,5771135674068,88,2,15,1701553344,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118079137124204,0,11245750280065,88,2,14,1701553339,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118079137124204,0,13892142032914,88,2,14,1701553330,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118080269318910,0,11253919783734,88,2,14,1701553311,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118314631225910,0,11271114573658,87,2,14,1701553310,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118314954117148,0,11268201157892,88,2,14,1701553304,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118314954117148,0,13919885325608,88,2,14,1701553301,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118314954117148,0,13919885410898,88,2,14,1701553281,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118314954117148,0,13919885429133,88,2,14,1701553278,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118315954124148,0,11268278872719,88,2,14,1701553274,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118321454131148,0,11268802068552,88,2,14,1701553246,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118325412339541,0,11269189899637,88,2,14,1701553241,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118325412346541,0,5646098115152,88,2,15,1701553197,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118325414394821,0,2857079970949,87,1,14,1701553185,9000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118325414401821,0,5783858109237,88,2,15,1701553168,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118325414408821,0,5783881950958,87,2,15,1701553141,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118325414415821,0,5646170527981,88,2,15,1701553138,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118325414422821,0,5514887492782,88,2,15,1701553119,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118325414422821,0,13921116743887,87,2,14,1701553111,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118325414422821,0,13921116768003,88,2,14,1701553102,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118325414422821,0,13921116809767,87,2,14,1701553098,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118325414429821,0,5646224585927,87,2,15,1701553093,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
